Thème Énergétique,Niveau de popularité,Thème Énergétique,Niveau de controverse
Emploi et dynamique économique,495,"Énergie solaire, éolienne en France et dans le monde",2436
"Énergie solaire, éolienne en France et dans le monde",452,Interviews médias et déclarations de la ministre de l'industrie,2164
Innovation dans le secteur de l'énergie,443,Emploi et dynamique économique,2028
Politique énergétique en Allemagne,390,Innovation dans le secteur de l'énergie,1956
Politique énergétique et environnementale,372,Production d'énergie et transition énergétique,1382
Interviews médias et déclarations de la ministre de l'industrie,327,Politique énergétique et environnementale,1221
Enjeux mondiaux et émissions de gaz à effet de serre,325,Politique énergétique en Allemagne,1160
Énergie renouvelable et développement international,271,Recherche et développement dans l'industrie énergétique,1113
Production d'énergie et transition énergétique,219,Énergie renouvelable et développement international,1080
"Énergie nucléaire, électricité et économie industrielle",211,"Énergie nucléaire, électricité et économie industrielle",824
Recherche et développement dans l'industrie énergétique,172,Financement et développement public,822
Financement et développement public,168,Enjeux mondiaux et émissions de gaz à effet de serre,812
Emploi et formation dans le secteur de l'énergie,157,Actualités économiques et environnementales,728
Actualités économiques et environnementales,151,Stratégies économiques et environnementales,589
Stratégies économiques et environnementales,140,Emploi et formation dans le secteur de l'énergie,202
