Thème Écologique,Niveau de popularité,Thème Écologique,Niveau de controverse
Politiques environnementales et écologiques du gouvernement français,1273,Politiques environnementales et écologiques du gouvernement français,8269
Soutien et financement de projets écologiques,736,Soutien et financement de projets écologiques,2545
Énergie et économie vers une société écologique,347,Énergie et économie vers une société écologique,1565
Agricultures et politiques environnementales,290,Collectivités territoriales et développement durable,1085
Collectivités territoriales et développement durable,284,Agricultures et politiques environnementales,935
Écologie et construction de bâtiments durables,244,Écologie et construction de bâtiments durables,915
Emploi et industrie écologique,209,Emploi et industrie écologique,774
Services publics et transition écologique,183,Évolution de l'écologie et de l'environnement dans le temps,584
Économie et écologie : enjeux et perspectives,141,Santé et développement durable,405
Politiques écologiques du président Emmanuel Macron,137,Réformes écologiques et environnementales en France,386
Réformes écologiques et environnementales en France,130,Services publics et transition écologique,312
Évolution de l'écologie et de l'environnement dans le temps,117,Politiques écologiques du président Emmanuel Macron,262
Santé et développement durable,92,Économie et écologie : enjeux et perspectives,251
Entreprises et transition écologique,60,Entreprises et transition écologique,172
Lutte contre le changement climatique et les émissions de gaz à effet de serre,50,Lutte contre le changement climatique et les émissions de gaz à effet de serre,57
